Starting time	End time (optional)	Day	Playing field	Phase	Division	Group	Team 1	Team 2
18:30	18:42	06-10-2025	JP1.2	League	U7	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP3.1	League	U8	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP3.2	League	U8	League	SPAIN	ARGENTINA
18:30	18:42	06-10-2025	JP3.3	League	U8	League	HOLLAND	PORTUGAL
18:30	18:42	06-10-2025	JP1.1	League	u10	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP1.3	League	u10	League	SPAIN	ARGENTINA
18:30	18:42	06-10-2025	JP1.4	League	u10	League	HOLLAND	PORTUGAL
18:30	18:42	06-10-2025	JP2.1	League	u14	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP2.2	League	u14	League	SPAIN	BRAZIL
18:30	18:42	06-10-2025	JP2.3	League	u14	League	HOLLAND	ARGENTINA
18:30	18:42	06-10-2025	JP4.1	League	u12	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP4.2	League	u12	League	SPAIN	ARGENTINA
18:30	18:42	06-10-2025	JP4.3	League	u12	League	HOLLAND	PORTUGAL
18:45	18:57	06-10-2025	JP1.2	League	U7	League	SPAIN	HOLLAND
18:45	18:57	06-10-2025	JP3.1	League	U8	League	BRAZIL	ENGLAND
18:45	18:57	06-10-2025	JP3.2	League	U8	League	FRANCE	ITALY
18:45	18:57	06-10-2025	JP3.3	League	U8	League	IRELAND	SPAIN
18:45	18:57	06-10-2025	JP1.1	League	u10	League	BRAZIL	ENGLAND
18:45	18:57	06-10-2025	JP1.3	League	u10	League	FRANCE	ITALY
18:45	18:57	06-10-2025	JP1.4	League	u10	League	IRELAND	SPAIN
18:45	18:57	06-10-2025	JP2.1	League	u14	League	ENGLAND	PORTUGAL
18:45	18:57	06-10-2025	JP2.2	League	u14	League	IRELAND	SPAIN
18:45	18:57	06-10-2025	JP2.3	League	u14	League	HOLLAND	GERMANY
18:45	18:57	06-10-2025	JP4.1	League	u12	League	BRAZIL	ENGLAND
18:45	18:57	06-10-2025	JP4.2	League	u12	League	FRANCE	ITALY
18:45	18:57	06-10-2025	JP4.3	League	u12	League	IRELAND	SPAIN
19:00	19:12	06-10-2025	JP1.2	League	U7	League	ARGENTINA	BRAZIL
19:00	19:12	06-10-2025	JP3.1	League	U8	League	HOLLAND	GERMANY
19:00	19:12	06-10-2025	JP3.2	League	U8	League	BRAZIL	ARGENTINA
19:00	19:12	06-10-2025	JP3.3	League	U8	League	FRANCE	PORTUGAL
19:00	19:12	06-10-2025	JP1.1	League	u10	League	HOLLAND	GERMANY
19:00	19:12	06-10-2025	JP1.3	League	u10	League	BRAZIL	ARGENTINA
19:00	19:12	06-10-2025	JP1.4	League	u10	League	FRANCE	PORTUGAL
19:00	19:12	06-10-2025	JP2.1	League	u14	League	ENGLAND	BRAZIL
19:00	19:12	06-10-2025	JP2.2	League	u14	League	PORTUGAL	ARGENTINA
19:00	19:12	06-10-2025	JP2.3	League	u14	League	IRELAND	HOLLAND
19:00	19:12	06-10-2025	JP4.1	League	u12	League	HOLLAND	GERMANY
19:00	19:12	06-10-2025	JP4.2	League	u12	League	BRAZIL	ARGENTINA
19:00	19:12	06-10-2025	JP4.3	League	u12	League	FRANCE	PORTUGAL
19:15	19:27	06-10-2025	JP1.2	League	U7	League	IRELAND	SPAIN
19:15	19:27	06-10-2025	JP3.1	League	U8	League	ITALY	ENGLAND
19:15	19:27	06-10-2025	JP3.2	League	U8	League	IRELAND	HOLLAND
19:15	19:27	06-10-2025	JP3.3	League	U8	League	BRAZIL	SPAIN
19:15	19:27	06-10-2025	JP1.1	League	u10	League	ITALY	ENGLAND
19:15	19:27	06-10-2025	JP1.3	League	u10	League	IRELAND	HOLLAND
19:15	19:27	06-10-2025	JP1.4	League	u10	League	BRAZIL	SPAIN
19:15	19:27	06-10-2025	JP2.1	League	u14	League	ENGLAND	SPAIN
19:15	19:27	06-10-2025	JP2.2	League	u14	League	PORTUGAL	GERMANY
19:15	19:27	06-10-2025	JP2.3	League	u14	League	ARGENTINA	BRAZIL
19:15	19:27	06-10-2025	JP4.1	League	u12	League	ITALY	ENGLAND
19:15	19:27	06-10-2025	JP4.2	League	u12	League	IRELAND	HOLLAND
19:15	19:27	06-10-2025	JP4.3	League	u12	League	BRAZIL	SPAIN
19:30	19:42	06-10-2025	JP1.2	League	U7	League	ARGENTINA	GERMANY
19:30	19:42	06-10-2025	JP3.1	League	U8	League	FRANCE	GERMANY
19:30	19:42	06-10-2025	JP3.2	League	U8	League	ITALY	ARGENTINA
19:30	19:42	06-10-2025	JP3.3	League	U8	League	ENGLAND	PORTUGAL
19:30	19:42	06-10-2025	JP1.1	League	u10	League	FRANCE	GERMANY
19:30	19:42	06-10-2025	JP1.3	League	u10	League	ITALY	ARGENTINA
19:30	19:42	06-10-2025	JP1.4	League	u10	League	ENGLAND	PORTUGAL
19:30	19:42	06-10-2025	JP2.1	League	u14	League	IRELAND	ENGLAND
19:30	19:42	06-10-2025	JP2.2	League	u14	League	PORTUGAL	HOLLAND
19:30	19:42	06-10-2025	JP2.3	League	u14	League	ARGENTINA	SPAIN
19:30	19:42	06-10-2025	JP4.1	League	u12	League	FRANCE	GERMANY
19:30	19:42	06-10-2025	JP4.2	League	u12	League	ITALY	ARGENTINA
19:30	19:42	06-10-2025	JP4.3	League	u12	League	ENGLAND	PORTUGAL
19:45	19:57	06-10-2025	JP1.2	League	U7	League	BRAZIL	HOLLAND
19:45	19:57	06-10-2025	JP3.1	League	U8	League	IRELAND	BRAZIL
19:45	19:57	06-10-2025	JP3.2	League	U8	League	FRANCE	HOLLAND
19:45	19:57	06-10-2025	JP3.3	League	U8	League	ITALY	SPAIN
19:45	19:57	06-10-2025	JP1.1	League	u10	League	IRELAND	BRAZIL
19:45	19:57	06-10-2025	JP1.3	League	u10	League	FRANCE	HOLLAND
19:45	19:57	06-10-2025	JP1.4	League	u10	League	ITALY	SPAIN
19:45	19:57	06-10-2025	JP2.1	League	u14	League	BRAZIL	GERMANY
